degree,degree centrality,betweenness centrality,closeness centrality,pagerank centrality,local clustering,avg neighbour degree,load centrality,subgraph centrality,harmonic centrality,node clique number,number of cliques,square clustering,greedy color,second order clustering,eccentricity,information centrality,current flow betweenness centrality,approx. current flow betweenness centrality
20,0.8,0.014540681540681543,0.78125,0.04065566565682228,0.803921568627451,19.0,0.014540681540681543,6441861.048768737,21.5,13,9,0.6291913214990138,9,32.68534183365386,2,0.3330586162325721,0.06337146808227956,0.06485182020011396
19,0.76,0.004675602175602176,0.7575757575757576,0.03850285480842311,0.8823529411764706,19.473684210526315,0.004675602175602172,6158337.690256765,21.0,13,8,0.6752387950036738,10,34.36954105940278,2,0.32332933015286053,0.06429181102721133,0.05267688911041837
15,0.6,0.00022222222222222223,0.6756756756756757,0.031152624050564497,0.9871794871794872,19.666666666666668,0.00022222222222222218,3895211.612498643,19.0,13,2,0.7406230133502861,7,41.97633700370826,2,0.2811025104164275,0.05388737937768731,0.044489929717146846
15,0.6,0.00022222222222222223,0.6756756756756757,0.031152624050564497,0.9871794871794872,19.666666666666668,0.00022222222222222218,3895211.612498642,19.0,13,2,0.7406230133502861,11,41.976337003708245,2,0.28110251041642736,0.053887379377687325,0.039653620193337326
24,0.96,0.02385874310874311,0.8928571428571429,0.04811358567351366,0.7272727272727273,18.791666666666668,0.0238587431087431,8939731.827416522,23.5,13,22,0.5732899022801303,4,27.12873804523493,2,0.3654197046388705,0.08791590458185759,0.08662355360138302
22,0.88,0.014224904724904727,0.8333333333333334,0.044242459323189605,0.7842105263157895,19.045454545454547,0.014224904724904725,7811110.638322056,22.5,13,16,0.6103930361382222,5,29.81710420160387,2,0.3497660263053945,0.07790632060819029,0.06577919465533746
25,1.0,0.028337579087579085,0.9259259259259259,0.050041899784511124,0.7075098814229249,18.68,0.028337579087579085,9541940.660002232,24.0,13,26,0.5602385685884692,1,25.89335742080547,2,0.37255372778571877,0.09232858756031737,0.07845291650570671
22,0.88,0.014187867687867688,0.8333333333333334,0.044205662859283554,0.7842105263157895,19.136363636363637,0.014187867687867688,7869168.133425922,22.5,13,16,0.6106449921342423,6,29.78559738610721,2,0.34994990272018267,0.07737774660137783,0.056324236237864825
10,0.4,0.0016296296296296297,0.5952380952380952,0.02279353973862911,0.8214285714285714,16.7,0.00162962962962963,1128757.067762008,16.5,7,3,0.5803571428571429,1,57.30822435860538,2,0.20941573844822503,0.05417259232045031,0.03458818293445741
15,0.6,0.007492063492063493,0.6756756756756757,0.032179585712051026,0.8076923076923077,18.266666666666666,0.00749206349206349,3060356.472365626,19.0,10,7,0.5683094198378041,6,41.87435887005366,2,0.2816460992383392,0.07286708839235938,0.04597843666063358
22,0.88,0.023617123617123623,0.8333333333333334,0.044737906956763086,0.7157894736842105,18.681818181818183,0.023617123617123623,7222114.388203927,22.5,12,19,0.5501685247601763,7,29.596099023842115,2,0.35105627780626814,0.08932229770223735,0.07682047195939028
26,1.04,0.0401471028971029,0.9615384615384616,0.05219471063291029,0.6739130434782609,18.346153846153847,0.0401471028971029,9894090.800246842,24.5,13,29,0.5354185832566697,0,24.602038729930932,2,0.37945728061522505,0.1006394382694153,0.08921332609187205
16,0.64,0.00864045214045214,0.6944444444444444,0.033685688028703885,0.8131868131868132,18.75,0.008640452140452141,3795979.25376963,19.5,10,10,0.5896076352067868,8,39.598868496498106,2,0.2939236937751214,0.0720720622440075,0.049538378004134825
14,0.56,0.00955964405964406,0.6578947368421053,0.030054142650436114,0.803030303030303,18.428571428571427,0.009559644059644058,2783260.8635354876,18.5,10,4,0.5880640465793304,6,44.11735356394509,2,0.2699158304581233,0.06696429709847361,0.042796637376359185
25,1.0,0.028337579087579085,0.9259259259259259,0.050041899784511124,0.7075098814229249,18.68,0.028337579087579085,9541940.660002232,24.0,13,26,0.5602385685884692,2,25.893357420805458,2,0.37255372778571877,0.09232858756031741,0.08517395969734681
19,0.76,0.0073759388759388755,0.7575757575757576,0.0386475621701108,0.8382352941176471,19.68421052631579,0.0073759388759388755,6064449.419822694,21.0,13,11,0.6289529163738581,11,34.07884409388705,2,0.32500258743069055,0.07038700792582886,0.057426761761430856
16,0.64,0.003228956228956229,0.6944444444444444,0.03312981767519855,0.8901098901098901,19.4375,0.0032289562289562306,4258321.496910199,19.5,11,7,0.6677333333333333,11,39.645943525644306,2,0.2936644048893971,0.06097786872293206,0.053096756515815045
17,0.68,0.0050292577792577795,0.7142857142857143,0.03501905929522364,0.8666666666666667,18.941176470588236,0.005029257779257779,4641789.769076347,20.0,13,4,0.6617011052378664,3,37.83052681412374,2,0.3036994910494111,0.06346890573290252,0.04649986059300763
19,0.76,0.016660413660413664,0.7575757575757576,0.039505486656314995,0.75,18.526315789473685,0.01666041366041366,5176329.587222511,21.0,11,16,0.5524324324324325,9,34.12921130471588,2,0.32471416800437103,0.08513387262272198,0.07243563432669521
18,0.72,0.006278619528619528,0.7352941176470589,0.0367407835008806,0.8416666666666667,19.61111111111111,0.0062786195286195275,5480070.353675738,20.5,13,7,0.6484531940538368,7,35.78042877694076,2,0.3152587995282767,0.06572886487669168,0.05607354817411989
17,0.68,0.013808321308321308,0.7142857142857143,0.03608838528760594,0.7333333333333333,17.647058823529413,0.013808321308321306,3687864.07049722,20.0,10,10,0.5271504084574724,5,37.748326129459535,2,0.3041608058524941,0.08287004984240283,0.059024486593640214
16,0.64,0.012100566100566102,0.6944444444444444,0.03402783639740773,0.7582417582417582,18.125,0.012100566100566099,3472017.3943609227,19.5,10,7,0.5514824797843666,4,39.64509257765611,2,0.2936707546099394,0.07684539849115057,0.06600560276586208
9,0.36,0.001966931216931217,0.5813953488372093,0.021365336736394562,0.7619047619047619,14.555555555555555,0.0019669312169312177,657710.5200349776,16.0,6,3,0.5513513513513514,0,62.42934432121827,2,0.18991557410269982,0.05802097015630842,0.04098559466091331
25,1.0,0.047706386206386196,0.9259259259259259,0.05045178782310706,0.6758893280632411,18.36,0.047706386206386196,9105758.460810859,24.0,13,25,0.5336126072212248,3,25.80846960822182,2,0.3730431434807513,0.10142368244385788,0.09220321753959496
18,0.72,0.005117123617123617,0.7352941176470589,0.03674299853552422,0.875,19.333333333333332,0.0051171236171236156,5419934.054817849,20.5,13,4,0.6673579427623393,12,35.98282258755374,2,0.31410788215884217,0.06397029190320525,0.04468376988350064
22,0.88,0.02103406778406779,0.8333333333333334,0.04452609621135489,0.7526315789473684,18.818181818181817,0.021034067784067783,7515268.707367703,22.5,13,13,0.5809923864531373,8,29.718970027779587,2,0.35033878257852535,0.08426065054073391,0.08011899514369365
