degree,degree centrality,betweenness centrality,closeness centrality,pagerank centrality,local clustering,avg neighbour degree,load centrality,subgraph centrality,harmonic centrality,node clique number,number of cliques,square clustering,greedy color
16,0.64,0.0014483294483294486,0.605,0.041128273000661054,0.945054945054945,16.375,0.0014483294483294477,325227.80047852633,17.666666666666668,12,5,0.7613636363636364,9
16,0.64,0.0014483294483294486,0.605,0.041128273000661054,0.945054945054945,16.375,0.0014483294483294477,325227.8004785257,17.666666666666668,12,5,0.7613636363636364,10
15,0.6,0.004674603174603174,0.5866666666666667,0.03907825181776034,0.8974358974358975,15.866666666666667,0.004674603174603175,267184.90225102275,17.166666666666668,12,3,0.7319932998324958,8
14,0.56,0.0002777777777777778,0.5694117647058824,0.03631562259892257,0.9848484848484849,16.214285714285715,0.00027777777777777756,246823.3615667009,16.666666666666668,12,2,0.8043694141012909,3
19,0.76,0.014138805638805641,0.6675862068965517,0.04897745234405637,0.7867647058823529,15.578947368421053,0.014138805638805641,408573.20885399077,19.166666666666668,12,9,0.6498545101842871,2
20,0.8,0.035916583416583416,0.717037037037037,0.05217499439659151,0.7320261437908496,15.25,0.03591658341658342,428584.108449465,19.833333333333336,12,11,0.6065075921908893,1
19,0.76,0.033888805638805634,0.6914285714285714,0.050085464472792926,0.7352941176470589,15.263157894736842,0.033888805638805634,382565.18777669774,19.333333333333336,12,9,0.5984593163216178,3
19,0.76,0.014138805638805641,0.6675862068965517,0.04897745234405637,0.7867647058823529,15.578947368421053,0.014138805638805641,408573.20885399077,19.166666666666668,12,9,0.6498545101842871,4
10,0.4,0.0,0.5094736842105263,0.027364199062594696,1.0,15.8,0.0,111707.73812548185,14.666666666666668,9,1,0.7690631808278867,6
18,0.72,0.00713086913086913,0.6453333333333333,0.046211214384519646,0.85,15.944444444444445,0.007130869130869132,387110.2194438206,18.666666666666668,12,8,0.6916802610114192,5
9,0.36,0.07025641025641026,0.5094736842105263,0.030093334067693166,0.6666666666666666,13.222222222222221,0.07025641025641026,58013.112265902324,14.333333333333334,6,3,0.5287009063444109,2
17,0.68,0.01740079365079365,0.6453333333333333,0.04458867989782673,0.8,15.588235294117647,0.01740079365079365,325696.3792671772,18.333333333333336,12,5,0.6619018023617154,8
16,0.64,0.030333333333333348,0.6453333333333333,0.04319107792462867,0.7692307692307693,15.5,0.030333333333333334,276323.24676253146,18.0,12,4,0.6282320055904962,8
15,0.6,0.02634371184371185,0.6245161290322581,0.041152516426638114,0.7564102564102564,15.133333333333333,0.026343711843711842,224595.76938707966,17.5,10,6,0.5841423948220065,9
8,0.32,0.07206349206349208,0.49641025641025643,0.02867677466313746,0.4666666666666667,11.375,0.0720634920634921,30559.323913926317,13.833333333333334,5,3,0.39461883408071746,1
3,0.12,0.0,0.328135593220339,0.015595282557966297,0.0,4.0,0.0,277.77537250171184,8.916666666666668,2,1,0.0,0
3,0.12,0.0,0.32266666666666666,0.016091415943822115,0.0,3.6666666666666665,0.0,148.54402823136212,8.750000000000002,2,1,0.0,0
18,0.72,0.01672610722610723,0.6675862068965517,0.046824384304314445,0.8333333333333334,15.88888888888889,0.01672610722610723,379684.5464299719,18.833333333333336,12,9,0.6702586206896551,6
21,0.84,0.12535309135309136,0.7744,0.0590092416249837,0.6432748538011696,14.619047619047619,0.12535309135309136,424771.676612607,20.5,12,12,0.5410742496050553,0
4,0.16,0.0,0.08,0.038461538461538464,1.0,3.0,0.0,7.361845641062572,2.0,3,1,0.0,0
4,0.16,0.0,0.08,0.038461538461538464,1.0,3.0,0.0,7.361845641062566,2.0,3,1,0.0,1
9,0.36,0.007555555555555556,0.49641025641025643,0.02603495666002873,0.7619047619047619,14.11111111111111,0.007555555555555556,70214.0719694118,14.166666666666668,7,2,0.6516516516516516,0
4,0.16,0.0,0.08,0.038461538461538464,1.0,3.0,0.0,7.361845641062564,2.0,3,1,0.0,2
18,0.72,0.009456265956265957,0.6453333333333333,0.04639308021131603,0.8333333333333334,15.88888888888889,0.009456265956265957,381596.28802639514,18.666666666666668,12,8,0.6793066088840737,7
16,0.64,0.0014483294483294486,0.605,0.041128273000661054,0.945054945054945,16.375,0.0014483294483294477,325227.80047852616,17.666666666666668,12,5,0.7613636363636364,11
3,0.12,0.0,0.42086956521739133,0.01439516990975159,0.0,8.0,0.0,2004.2347688646544,11.0,2,1,0.0,1
