degree,degree centrality,betweenness centrality,closeness centrality,pagerank centrality,local clustering,avg neighbour degree,load centrality,subgraph centrality,harmonic centrality,node clique number,number of cliques,square clustering,greedy color,second order clustering,eccentricity,information centrality,current flow betweenness centrality,approx. current flow betweenness centrality
7,0.28,0.006368881118881118,0.4166666666666667,0.029564481215329494,0.8,8.142857142857142,0.0060105820105820105,224.5433657483949,13.116666666666665,5,2,0.2916666666666667,3,64.78059465659634,6,0.06098351309309093,0.09152814069426948,0.07324197403381708
11,0.44,0.04926370851370851,0.5208333333333334,0.04366501401174563,0.6111111111111112,10.454545454545455,0.04899801587301588,1724.3214687663772,15.916666666666666,6,5,0.375,6,44.00988584037028,4,0.07516475088057793,0.20815291922026005,0.13832601664144692
5,0.2,0.004083333333333334,0.4098360655737705,0.0243240250502791,0.6666666666666666,6.2,0.0051190476190476186,77.6712843489302,11.75,3,2,0.2,0,83.35858463384594,4,0.04958545032338964,0.17199920510689182,0.04153064958195174
7,0.28,0.006368881118881118,0.4166666666666667,0.029564481215329494,0.8,8.142857142857142,0.0060105820105820105,224.54336574839448,13.116666666666665,5,2,0.2916666666666667,4,64.78059465659634,6,0.06098351309309093,0.09152814069426951,0.05067252958937265
8,0.32,0.0502933177933178,0.43103448275862066,0.03580220673118199,0.4,6.5,0.05775396825396826,130.4322779439131,13.450000000000001,4,3,0.18,0,59.619589458268536,5,0.06444077377612487,0.16230367250244182,0.09872381280913378
10,0.4,0.040766011766011766,0.46296296296296297,0.04135794755984125,0.4642857142857143,8.2,0.04298412698412698,474.39445328915207,15.116666666666665,5,4,0.183206106870229,1,50.750266123156585,6,0.07053258428962013,0.11451217780107605,0.11680613659965694
7,0.28,0.012431870417164535,0.43103448275862066,0.029181862239579914,0.6,8.142857142857142,0.012986111111111113,258.7323479537598,13.45,4,2,0.19626168224299065,4,63.11536007873991,6,0.06208609590573988,0.10742959262051693,0.07658824113921575
8,0.32,0.026042367762956,0.49019607843137253,0.03265457652484692,0.5333333333333333,9.125,0.02804960317460317,469.8039992808237,14.616666666666665,4,3,0.2032967032967033,2,56.8327380132686,5,0.06633398343463401,0.12148473590314907,0.08508571754833225
9,0.36,0.002576312576312576,0.4807692307692308,0.03394499258111214,0.8571428571428571,11.222222222222221,0.002698412698412698,1429.0200843064758,14.783333333333333,6,3,0.48854961832061067,4,51.55617467318886,5,0.06996663186112434,0.11366708613018893,0.06329807800665634
11,0.44,0.026205461205461206,0.49019607843137253,0.04202558785888656,0.6388888888888888,10.454545454545455,0.024234788359788356,1745.490717770418,15.616666666666667,6,6,0.37681159420289856,6,45.275130837532984,5,0.07429884516778527,0.1486487764113381,0.09987047636667994
