degree,degree centrality,betweenness centrality,closeness centrality,pagerank centrality,local clustering,avg neighbour degree,load centrality,subgraph centrality,harmonic centrality,node clique number,number of cliques,square clustering,greedy color,second order clustering,eccentricity,information centrality,current flow betweenness centrality,approx. current flow betweenness centrality
16,0.64,0.07267608343382335,0.5555555555555556,0.05199566370152332,0.6703296703296703,12.3125,0.07380605158730158,17859.772597786825,18.25,10,7,0.4741907261592301,0,37.68581284571945,4,0.11059706386366959,0.40593699959617596,0.1660589319436503
14,0.56,0.035443888756582255,0.5813953488372093,0.0450124340606395,0.8333333333333334,12.857142857142858,0.031177414021164026,16047.43270810142,17.666666666666668,10,5,0.6019417475728155,5,39.81929590323294,3,0.1080148293587474,0.36197935387596186,0.09996211867189017
14,0.56,0.12421140142966769,0.5813953488372093,0.047788287300980004,0.6818181818181818,11.857142857142858,0.12539500661375658,13271.881770611995,17.666666666666668,10,4,0.5185659411011524,6,37.35779570152878,3,0.11114501755677242,0.4554996522581548,0.1389829164979578
9,0.36,0.022123015873015874,0.49019607843137253,0.03158494346300018,0.7619047619047619,11.444444444444445,0.021775793650793653,4943.310731362802,14.666666666666668,7,2,0.5675675675675675,0,50.90424844248694,3,0.09407147934436477,0.3630899850895191,0.06971228911107663
15,0.6,0.043008703571397064,0.5952380952380952,0.04836829847490245,0.7692307692307693,12.6,0.03845982142857144,17537.241907994394,18.166666666666668,10,6,0.5641293013555787,2,38.07051194526098,3,0.11023184401371618,0.37444393370904167,0.10499186770846612
13,0.52,0.032425004189710074,0.5,0.04251479081845329,0.7272727272727273,12.307692307692308,0.030611111111111106,11988.995249025613,16.5,9,3,0.5251798561151079,7,42.682660275810555,4,0.104372512465502,0.3757254523700822,0.11338831684643437
13,0.52,0.003789302945649695,0.5208333333333334,0.041504622931724446,0.9272727272727272,13.23076923076923,0.003836805555555555,14895.007091896534,16.75,10,4,0.6661870503597123,8,42.24008619529206,4,0.10493555846007405,0.3398649567046197,0.07321467932442126
13,0.52,0.022070482894012304,0.5555555555555556,0.04197522218558271,0.8545454545454545,12.76923076923077,0.019840608465608464,13815.05854187585,17.0,10,3,0.6336779911373708,9,41.54307903846093,3,0.10582494752046112,0.3530016480104435,0.08639958624939365
7,0.28,0.0,0.3333333333333333,0.035196277177573024,1.0,6.428571428571429,0.0,72.63957986655167,11.183333333333335,6,1,0.7142857142857143,3,91.87894553159424,5,0.05375511347595637,0.08319631347612177,0.02391870057860379
14,0.56,0.017883245695939194,0.5319148936170213,0.0452469701219371,0.7727272727272727,12.642857142857142,0.017185681216931217,15243.312733879267,17.25,10,4,0.5677966101694916,7,40.15116561761841,4,0.10759174699635596,0.3634498281071499,0.10886149792004883
6,0.24,0.0004761904761904762,0.36231884057971014,0.02324989516479708,0.8333333333333334,7.5,0.00047619047619047603,532.7895450373416,11.716666666666667,4,2,0.39215686274509803,0,74.69278339241487,5,0.06797068695187188,0.345975223741742,0.06085087367076651
8,0.32,0.00413108752272839,0.3968253968253968,0.029207662453631503,0.7333333333333333,9.25,0.004983520723104057,1835.2691746557957,13.183333333333335,5,4,0.3710691823899371,1,60.941458010078144,5,0.08220080404065505,0.3565733060982733,0.08286134651317467
8,0.32,0.00413108752272839,0.3968253968253968,0.029207662453631503,0.7333333333333333,9.25,0.004983520723104057,1835.2691746557957,13.183333333333335,5,4,0.3710691823899371,3,60.94145801007818,5,0.08220080404065505,0.3565733060982732,0.09353568091026908
14,0.56,0.07860118716852461,0.5102040816326531,0.04645240901852099,0.6363636363636364,11.928571428571429,0.07511612654320987,12510.3297055734,17.0,9,4,0.4635036496350365,6,41.332856549038446,4,0.10608920234744118,0.40344169455214396,0.1382369318231594
15,0.6,0.10305876462145815,0.5952380952380952,0.04943604236079635,0.7307692307692307,12.4,0.11087648809523812,16711.876354897693,18.16666666666667,10,6,0.53125,3,37.25393035805335,3,0.1112673659779586,0.4139761284896311,0.13489973089341867
7,0.28,0.0,0.3333333333333333,0.035196277177573024,1.0,6.428571428571429,0.0,72.63957986655167,11.183333333333334,6,1,0.7142857142857143,4,91.87894553159424,5,0.05375511347595637,0.05541853569834451,0.05777286724527028
9,0.36,0.023185046893251234,0.44642857142857145,0.03198073041921381,0.5238095238095238,10.222222222222221,0.02675810185185185,3215.283972650586,14.250000000000002,5,3,0.3779527559055118,2,55.107043000687455,4,0.08896061213755803,0.37156612753911844,0.08781909893590646
8,0.32,0.15431648660363834,0.423728813559322,0.038704088306488076,0.6666666666666666,6.625,0.14259350198412699,109.8353397483724,13.25,6,2,0.35294117647058826,0,79.08015528929154,4,0.06403574286928905,0.21459546353507283,0.13078152175993474
4,0.16,0.05509659140309295,0.44642857142857145,0.019300548132149584,0.0,6.5,0.05892609126984127,117.19152648509116,12.25,2,2,0.0,0,99.01525913443992,4,0.04884749764532513,0.2700025606640729,0.07371097037821486
5,0.2,0.09234618125252801,0.4716981132075472,0.021531755263261357,0.3333333333333333,7.4,0.10167485119047619,334.8173954976457,13.000000000000002,3,2,0.1282051282051282,1,77.83723188069845,3,0.06510576569775231,0.343295725185859,0.11122045794231092
