Feature_Name,Frequency,Mean_Importance,max_features
Edge323,50,0.04728618929176415,10
Edge204,47,0.04861850473254265,10
Edge232,47,0.04069367995911524,10
Edge68,47,0.03265663649556455,10
Edge80,41,0.0469576012974733,10
Edge70,41,0.020647121508713437,10
Edge74,39,0.045726498086207816,10
Edge201,39,0.041968318993138555,10
Edge76,38,0.03586820363941992,10
Edge21,38,0.028896006662651533,10
Edge171,38,0.024747423793228848,10
Edge116,36,0.05184943317004946,10
Edge266,33,0.02709351568707607,10
Edge260,32,0.041052597756490894,10
Edge39,32,0.033277011203263235,10
Edge4,30,0.055903075155097244,10
Edge152,28,0.026627986546653475,10
Edge101,26,0.021181875812624356,10
