Feature_Name,Frequency,Mean_Importance,max_features
Edge323,50,0.050256836875146885,18
Edge204,47,0.05380242533831921,18
Edge232,47,0.04352984667887538,18
Edge68,47,0.035600068031968614,18
Edge80,41,0.04790253527555773,18
Edge70,41,0.021081723308531142,18
Edge74,39,0.05020782776589145,18
Edge201,39,0.04190426685950916,18
Edge76,38,0.036004390554458754,18
Edge21,38,0.025186187935940012,18
Edge171,38,0.023941793226916502,18
Edge116,36,0.051706210092319856,18
Edge266,33,0.026461967068068054,18
Edge260,32,0.04532925146107628,18
Edge39,32,0.03274174984573646,18
Edge4,30,0.05688442265537444,18
Edge152,28,0.025008664640456306,18
Edge101,26,0.02118940064041678,18
