Feature_Name,Frequency,Mean_Importance,max_features
Edge323,50,0.046024066612369276,28
Edge204,47,0.05462400837840086,28
Edge232,47,0.042910274548764504,28
Edge68,47,0.03397611812793671,28
Edge80,41,0.04896300924543172,28
Edge70,41,0.017624960719878176,28
Edge74,39,0.054402044495686516,28
Edge201,39,0.0417977487961879,28
Edge76,38,0.03604020391174968,28
Edge171,38,0.025085191792198064,28
Edge21,38,0.02419526992959019,28
Edge116,36,0.05392206034820729,28
Edge266,33,0.025829354120959477,28
Edge260,32,0.04676498054634951,28
Edge39,32,0.03356812014412518,28
Edge4,30,0.062194972461146726,28
Edge152,28,0.019914655028432787,28
Edge101,26,0.020882863887355444,28
