Feature_Name,Frequency,Mean_Importance,max_features
Edge323,50,0.05022827925736312,12
Edge204,47,0.04959176903712859,12
Edge232,47,0.04344041768872513,12
Edge68,47,0.033934268650470105,12
Edge80,41,0.04711399940453103,12
Edge70,41,0.02153064331170268,12
Edge74,39,0.047291903911001,12
Edge201,39,0.04183679012353837,12
Edge76,38,0.034724787320282655,12
Edge21,38,0.02673930817868535,12
Edge171,38,0.024892766433921642,12
Edge116,36,0.052043799807629375,12
Edge266,33,0.026349051445466,12
Edge260,32,0.04232230628148119,12
Edge39,32,0.033207670778340734,12
Edge4,30,0.054305576643782306,12
Edge152,28,0.02535549998624715,12
Edge101,26,0.022997062429048205,12
