Feature_Name,Frequency,Mean_Importance,max_features
Edge323,50,0.04873070186086577,25
Edge204,47,0.05465364119946179,25
Edge232,47,0.04443922459297571,25
Edge68,47,0.03405901250204248,25
Edge80,41,0.04837955407592419,25
Edge70,41,0.019808621562787027,25
Edge74,39,0.050638836532876104,25
Edge201,39,0.04224788169395556,25
Edge76,38,0.03639563244196181,25
Edge21,38,0.024467156339904504,25
Edge171,38,0.023724114156441312,25
Edge116,36,0.05264323483119912,25
Edge266,33,0.025788627905192346,25
Edge260,32,0.045870840400546176,25
Edge39,32,0.03400169549071798,25
Edge4,30,0.06004761192223552,25
Edge152,28,0.021780315183974438,25
Edge101,26,0.021870685455686233,25
