Feature_Name,Frequency,Mean_Importance,max_features
Edge323,50,0.04684188880987301,11
Edge204,47,0.0501010596411322,11
Edge232,47,0.04464068116723529,11
Edge68,47,0.0339340120077222,11
Edge80,41,0.04735199477875565,11
Edge70,41,0.022363365171568186,11
Edge74,39,0.04749918716058619,11
Edge201,39,0.040421010510605364,11
Edge76,38,0.0372929678960502,11
Edge21,38,0.0277310492132207,11
Edge171,38,0.025984498705833144,11
Edge116,36,0.04853325220971394,11
Edge266,33,0.02766806183231369,11
Edge260,32,0.04111778452723864,11
Edge39,32,0.032469337380668886,11
Edge4,30,0.05374386298054078,11
Edge152,28,0.02547666990607722,11
Edge101,26,0.02197896218563587,11
