Feature_Name,Frequency,Mean_Importance,max_features
Edge323,50,0.04847429733799038,21
Edge204,47,0.05433666380844064,21
Edge232,47,0.04500201977005035,21
Edge68,47,0.03250054951835737,21
Edge80,41,0.04863302045309612,21
Edge70,41,0.02041021809271528,21
Edge74,39,0.052514571380547326,21
Edge201,39,0.04094140478469795,21
Edge76,38,0.03498846088746392,21
Edge21,38,0.025530022023443174,21
Edge171,38,0.02357839618756725,21
Edge116,36,0.05320520953915828,21
Edge266,33,0.027639552385819367,21
Edge260,32,0.04451239966919737,21
Edge39,32,0.030587716106041295,21
Edge4,30,0.05914115499775501,21
Edge152,28,0.022928160636358334,21
Edge101,26,0.020976384432529745,21
