degree,degree centrality,betweenness centrality,closeness centrality,pagerank centrality,local clustering,avg neighbour degree,load centrality,subgraph centrality,harmonic centrality,node clique number,number of cliques,square clustering,greedy color
15,0.6,0.0015465367965367969,0.6227027027027027,0.038361487666179125,0.9487179487179487,15.8,0.001583333333333333,163158.27557743504,18.166666666666668,12,4,0.6995850622406639,8
18,0.72,0.022539760963674004,0.6981818181818181,0.04585086311338399,0.7583333333333333,15.61111111111111,0.021892691798941797,215335.23548008414,19.833333333333336,12,8,0.546239837398374,4
14,0.56,0.0012687590187590188,0.6063157894736841,0.03597830234148094,0.9545454545454546,15.785714285714286,0.0013055555555555555,142292.6295801769,17.666666666666668,12,2,0.7172211350293543,7
18,0.72,0.020679732103645147,0.6981818181818181,0.045945568196353745,0.7416666666666667,15.61111111111111,0.02030357142857143,212540.8490654507,19.833333333333336,12,10,0.5303867403314917,5
15,0.6,0.0015465367965367969,0.6227027027027027,0.038361487666179125,0.9487179487179487,15.8,0.001583333333333333,163158.2755774351,18.166666666666668,12,4,0.6995850622406639,9
22,0.88,0.09525018459801071,0.8228571428571427,0.0569625357060392,0.5789473684210527,14.772727272727273,0.09439243626743628,260244.82604800345,22.0,12,16,0.4092948717948718,0
19,0.76,0.027570713103321796,0.7432258064516128,0.04854820230358592,0.7205882352941176,15.368421052631579,0.027721726190476192,230991.48966766268,20.5,12,11,0.5213055303717135,2
20,0.8,0.06656739999131306,0.768,0.052240996563566885,0.6143790849673203,14.9,0.06569149831649833,227647.08346084837,21.0,12,11,0.446264482620855,1
15,0.6,0.0015465367965367969,0.6227027027027027,0.038361487666179125,0.9487179487179487,15.8,0.001583333333333333,163158.2755774351,18.166666666666668,12,4,0.6995850622406639,10
18,0.72,0.021598490881099584,0.72,0.04603327415289753,0.7583333333333333,15.5,0.021795800264550268,213576.75488972242,20.0,12,8,0.5522926326635754,6
10,0.4,0.002934249325553673,0.5619512195121951,0.029324527994356295,0.8928571428571429,12.0,0.003963293650793651,23950.893028910585,15.833333333333334,7,3,0.4838709677419355,6
8,0.32,0.0,0.4608,0.024503969310810513,1.0,10.625,0.0,10461.158228222876,13.66666666666667,7,1,0.5963855421686747,0
15,0.6,0.029499268847094934,0.6582857142857143,0.04084552748894311,0.6538461538461539,14.2,0.028698923761423762,96734.9534539383,18.5,8,8,0.40435458786936235,3
16,0.64,0.03398510547423591,0.6776470588235294,0.04313925025517061,0.6593406593406593,14.5,0.03242024410774411,117426.63423303493,19.0,8,13,0.40828402366863903,7
7,0.28,0.009809457450761798,0.535813953488372,0.023297537879997922,0.6,10.142857142857142,0.011556417348084012,8772.771714490735,14.5,4,4,0.21052631578947367,0
5,0.2,0.0010952380952380953,0.43471698113207546,0.018577265567820415,0.6666666666666666,7.0,0.0013870851370851372,1240.1739338389561,12.166666666666668,3,2,0.1875,1
13,0.52,0.01699981781503521,0.6227027027027027,0.036208015140248746,0.7090909090909091,13.461538461538462,0.017014039201539204,61482.08540979503,17.5,7,8,0.4125874125874126,1
12,0.48,0.053454512878425925,0.5907692307692308,0.036395047818067905,0.5555555555555556,11.583333333333334,0.05473754409171077,31183.49526347783,16.833333333333336,7,5,0.31259968102073366,2
2,0.08,0.0,0.0,0.038461538461538464,0.0,1.0,0.0,2.7182818284590455,0.0,1,1,0.0,0
11,0.44,0.04234171384171384,0.576,0.032320010927967144,0.5277777777777778,13.090909090909092,0.040658179012345676,47924.20476692894,16.333333333333332,6,5,0.3822525597269625,3
11,0.44,0.00742008595269465,0.5907692307692308,0.0316182507605838,0.8055555555555556,12.636363636363637,0.008587391774891777,34711.29099269887,16.5,7,4,0.4367816091954023,5
16,0.64,0.02573090798090798,0.6582857142857143,0.04205689644180139,0.7692307692307693,15.0625,0.025835648148148153,159671.30764890873,18.833333333333336,12,5,0.5646401118099231,7
15,0.6,0.0015465367965367969,0.6227027027027027,0.038361487666179125,0.9487179487179487,15.8,0.001583333333333333,163158.27557743507,18.166666666666668,12,4,0.6995850622406639,11
13,0.52,0.006442918192918193,0.576,0.03416873276873812,0.8545454545454545,14.461538461538462,0.00664814814814815,103565.46813746,17.0,10,3,0.6913265306122449,0
13,0.52,0.014946886446886447,0.6227027027027027,0.03550426168391019,0.6909090909090909,14.384615384615385,0.014913780663780666,76629.12660457518,17.5,7,7,0.4252136752136752,4
19,0.76,0.04034531651922956,0.72,0.04857347445802037,0.6911764705882353,15.263157894736842,0.040809358465608465,224833.00471148425,20.333333333333336,12,9,0.5009009009009009,3
