Feature_Name,Mean_Importance,Std_Importance,Min_Importance,Max_Importance,max_features
Edge20,0.09351722081888114,,0.09351722081888114,0.09351722081888114,19
Edge218,0.09177607807138596,0.027785409981597786,0.05544639880609618,0.1159115263318451,19
Edge294,0.06378686116688316,,0.06378686116688316,0.06378686116688316,19
Edge4,0.05830473383913839,0.02453214629541779,0.020006448949502306,0.10381935357238503,19
Edge6,0.058135898841581456,0.0207606397026397,0.026201026756491948,0.10092400063049815,19
Edge251,0.05556203741255663,0.02932567200582041,0.014019414560317961,0.13729469838382696,19
Edge116,0.05454427289130728,0.01803142845679087,0.01861376652989924,0.10569409944278063,19
Edge139,0.054403861313195676,0.021146989960976224,0.03603460405083495,0.09753450463345749,19
Edge204,0.05389975024940135,0.026049863652763707,0.022480122961000173,0.1645186935765566,19
Edge112,0.049656043148492146,0.014642932930987106,0.024376283649153053,0.0675046329973136,19
Edge74,0.049473364174080874,0.03023208278817069,0.014178603103398295,0.16672140305029762,19
Edge259,0.04907457069781474,0.01682375682121138,0.02824201134786372,0.0952871605318081,19
Edge268,0.04820641134462898,0.03056657627910637,0.022547551534881336,0.09095972617131878,19
Edge117,0.04787878238678958,0.02697916516421646,0.012537843367941387,0.13555057935427167,19
Edge80,0.047614173517376665,0.0226703946767241,0.020242473056522936,0.10444592652296099,19
Edge323,0.04656329588259203,0.017790393805418043,0.0153790635622425,0.10040300691428782,19
Edge300,0.046474493847628855,0.021205842557525143,0.02375482824490558,0.09180269873553859,19
Edge260,0.045596720008045356,0.02189346451826793,0.016555484426775336,0.1383197919323059,19
Edge232,0.04471245674626413,0.020450427602738755,0.0193403842758858,0.09734798116459323,19
Edge247,0.04460716992096269,0.02300227363910869,0.028342106248040372,0.06087223359388501,19
Edge54,0.04458580370821509,0.03359845468753927,0.007943829632960375,0.1319126366162714,19
Edge89,0.0417567248523422,,0.0417567248523422,0.0417567248523422,19
Edge201,0.04073481224466039,0.018800773794490203,0.008519234838928528,0.09073006860318729,19
Edge249,0.04024314491270966,0.016515282227989238,0.021173475560370657,0.04990179463030786,19
Edge149,0.03993763405398731,,0.03993763405398731,0.03993763405398731,19
Edge277,0.03934082704825203,,0.03934082704825203,0.03934082704825203,19
Edge178,0.039257489635790836,0.014299168621292364,0.013631745422960284,0.05727006360330419,19
Edge136,0.039117878896521754,0.014731880741587908,0.02013510421843718,0.06751835332659192,19
Edge134,0.03756521661322009,,0.03756521661322009,0.03756521661322009,19
Edge280,0.03709414482867799,0.01754925690340024,0.019837913497819406,0.07239180865892954,19
Edge14,0.036795879554585985,0.0010215367791987576,0.03607354397078308,0.03751821513838889,19
Edge34,0.03658550834448722,0.006810416460227586,0.027900326397629623,0.04393106111385079,19
Edge257,0.03645527739323849,0.0215405698582501,0.0212237943758473,0.05168676041062969,19
Edge311,0.036202905849465554,0.007162193808897319,0.027977355263290964,0.04105882199186693,19
Edge1,0.03609027597631621,0.018147005966439863,0.006989104094303122,0.07670304079539972,19
Edge49,0.035015097051253975,0.015180794165918804,0.0220172312318465,0.07568204538759818,19
Edge76,0.035008275020645435,0.02044653389913808,0.004720495775681909,0.08251971949393358,19
Edge65,0.034279892531725836,,0.034279892531725836,0.034279892531725836,19
Edge41,0.03384963707273245,0.014522154773104378,0.020332276861214374,0.06145227618742733,19
Edge68,0.033759720221708464,0.01621518378126885,0.013614306598029025,0.09172888424943046,19
Edge284,0.033161075582966854,0.017364184536233538,0.009738463112638788,0.06555812477461703,19
Edge238,0.03303401575085119,0.011356048563406442,0.01660119167877604,0.043432346611368314,19
Edge135,0.033012858107650755,0.019541191314550333,0.012251988119834042,0.06111448267451641,19
Edge153,0.03300624465981235,0.00844719349549319,0.024676480006345165,0.043778091450905,19
Edge206,0.03214367972905802,,0.03214367972905802,0.03214367972905802,19
Edge39,0.03193516952200967,0.012677627018664707,0.006029410127291927,0.06555257142770449,19
Edge301,0.03137263563914565,0.017415606775742585,0.0050295148575798055,0.060845615916022985,19
Edge40,0.031229293921338146,0.009987658131284036,0.024166953128534244,0.03829163471414205,19
Edge79,0.030744877449830094,0.017642857855237483,0.014196038542168953,0.05617282206983473,19
