Rank,Feature_Name,MWU_Score
1,Edge323,2.1928920838386654
2,Edge266,2.0883880068409963
3,Edge204,2.02692203337499
4,Edge232,1.9864587278709023
5,Edge116,1.752278416274278
6,Edge251,1.5862592977442045
7,Edge260,1.4975617136632677
8,Edge201,1.4801238265152872
9,Edge70,1.4284116727953482
10,Edge80,1.4284116727953482
11,Edge4,1.3775996712963479
12,Edge165,1.2949057350317346
13,Edge68,1.2949057350317346
14,Edge171,1.246480276165538
15,Edge152,1.2305362733966942
16,Edge64,1.2305362733966942
17,Edge76,1.2146909887676502
18,Edge147,1.1677462771538825
19,Edge179,1.1522946921741337
20,Edge202,1.136941232481964
21,Edge284,1.1216857756153114
22,Edge168,1.10652819777894
23,Edge317,1.10652819777894
24,Edge1,1.0765061772556053
25,Edge54,1.0765061772556053
26,Edge58,1.0322040658981668
27,Edge153,1.0322040658981668
28,Edge74,1.0176310858810285
29,Edge117,1.0176310858810285
30,Edge39,1.0176310858810285
