Rank,Feature_Name,MWU_Score
1,Edge323,2.5522647261796894
2,Edge260,1.957051173073514
3,Edge232,1.6043362093350755
4,Edge204,1.5857628742167547
5,Edge68,1.5489369041640202
6,Edge147,1.5125378534226743
7,Edge45,1.4944981632629515
8,Edge4,1.4410171605260007
9,Edge201,1.4234024884250926
10,Edge116,1.3369165931211093
11,Edge76,1.3030609142126806
12,Edge21,1.2862908935906383
13,Edge266,1.2366106550957139
14,Edge318,1.2040141118913665
15,Edge230,1.1878725466631013
16,Edge305,1.1559021842160258
17,Edge152,1.1559021842160258
18,Edge178,1.1400731247686877
19,Edge168,1.1400731247686877
20,Edge101,1.108726582809939
21,Edge74,1.108726582809939
22,Edge216,1.093208829158373
23,Edge179,1.093208829158373
24,Edge70,1.0777945704262526
25,Edge165,1.0022707660533532
26,Edge202,1.0022707660533532
27,Edge131,0.9874744937539855
28,Edge295,0.9874744937539855
29,Edge20,0.9874744937539855
30,Edge59,0.9727807069290036
