Rank,Feature_Name,MWU_Score
1,Edge323,2.3435397785808516
2,Edge68,2.150780916132316
3,Edge39,2.02692203337499
4,Edge21,1.9265333131755593
5,Edge116,1.8870951852332145
6,Edge204,1.867529534742294
7,Edge76,1.6224438985515475
8,Edge263,1.6043011076861478
9,Edge1,1.5327388302932388
10,Edge238,1.4455489054626125
11,Edge4,1.3775996712963479
12,Edge284,1.360861892486141
13,Edge317,1.360861892486141
14,Edge201,1.3276850368989381
15,Edge266,1.3112457460004088
16,Edge49,1.3112457460004088
17,Edge70,1.2949057350317346
18,Edge14,1.2625231118586069
19,Edge45,1.1989443062518168
20,Edge185,1.1832961085656803
21,Edge54,1.1677462771538825
22,Edge259,1.1522946921741337
23,Edge251,1.136941232481964
24,Edge232,1.1216857756153114
25,Edge126,1.091468373828698
26,Edge280,1.091468373828698
27,Edge316,1.091468373828698
28,Edge179,1.091468373828698
29,Edge290,1.0616414801697738
30,Edge171,1.0468741532841632
