Rank,Feature_Name,MWU_Score
1,Edge232,2.0883880068409963
2,Edge305,2.0883880068409963
3,Edge323,2.0066390281668856
4,Edge259,1.9663810585371106
5,Edge68,1.6406877612154016
6,Edge49,1.6043011076861478
7,Edge204,1.3775996712963479
8,Edge260,1.3775996712963479
9,Edge4,1.360861892486141
10,Edge202,1.3442237165167081
11,Edge251,1.3442237165167081
12,Edge201,1.3442237165167081
13,Edge21,1.3112457460004088
14,Edge103,1.2625231118586069
15,Edge80,1.246480276165538
16,Edge230,1.246480276165538
17,Edge266,1.1832961085656803
18,Edge139,1.136941232481964
19,Edge300,1.136941232481964
20,Edge28,1.136941232481964
21,Edge191,1.1216857756153114
22,Edge1,1.091468373828698
23,Edge39,1.091468373828698
24,Edge75,1.0765061772556053
25,Edge165,1.0468741532841632
26,Edge76,1.0468741532841632
27,Edge74,1.0468741532841632
28,Edge318,1.0322040658981668
29,Edge70,1.0322040658981668
30,Edge58,1.0176310858810285
