Rank,Feature_Name,MWU_Score
1,Edge68,2.150780916132316
2,Edge323,2.02692203337499
3,Edge6,1.7902878454741484
4,Edge39,1.6590327856075533
5,Edge80,1.5683183768942526
6,Edge259,1.550478252336899
7,Edge4,1.5151000159931183
8,Edge21,1.5151000159931183
9,Edge185,1.3775996712963479
10,Edge70,1.3775996712963479
11,Edge101,1.3442237165167081
12,Edge116,1.2949057350317346
13,Edge74,1.2949057350317346
14,Edge260,1.2949057350317346
15,Edge201,1.246480276165538
16,Edge139,1.2305362733966942
17,Edge76,1.1832961085656803
18,Edge266,1.1677462771538825
19,Edge204,1.10652819777894
20,Edge232,1.091468373828698
21,Edge75,1.091468373828698
22,Edge136,1.091468373828698
23,Edge58,1.0765061772556053
24,Edge41,1.0468741532841632
25,Edge175,1.0468741532841632
26,Edge178,1.0031550796550919
27,Edge244,1.0031550796550919
28,Edge10,0.9887759121788804
29,Edge1,0.9462180695164822
30,Edge112,0.9322248767463415
