Rank,Feature_Name,MWU_Score
1,Edge4,2.6136365971903834
2,Edge323,2.0883880068409963
3,Edge6,2.0677964506084647
4,Edge1,1.7146757145088147
5,Edge232,1.5683183768942526
6,Edge28,1.394437158306622
7,Edge21,1.3775996712963479
8,Edge68,1.3276850368989381
9,Edge201,1.246480276165538
10,Edge204,1.1989443062518168
11,Edge266,1.1522946921741337
12,Edge251,1.136941232481964
13,Edge112,1.1216857756153114
14,Edge317,1.1216857756153114
15,Edge315,1.10652819777894
16,Edge284,1.091468373828698
17,Edge41,1.091468373828698
18,Edge139,1.0616414801697738
19,Edge80,1.0468741532841632
20,Edge290,1.0468741532841632
21,Edge40,1.0468741532841632
22,Edge316,1.0322040658981668
23,Edge101,0.9603075458879256
24,Edge230,0.9603075458879256
25,Edge76,0.9322248767463415
26,Edge74,0.9322248767463415
27,Edge163,0.9322248767463415
28,Edge45,0.9183278249572066
29,Edge270,0.9183278249572066
30,Edge32,0.9183278249572066
