Rank,Feature_Name,MWU_Score
1,Edge323,2.109082556417139
2,Edge201,1.9265333131755593
3,Edge232,1.6590327856075533
4,Edge280,1.6043011076861478
5,Edge21,1.5683183768942526
6,Edge4,1.5151000159931183
7,Edge1,1.4627862567334922
8,Edge259,1.4113744577597784
9,Edge317,1.394437158306622
10,Edge68,1.3112457460004088
11,Edge6,1.2949057350317346
12,Edge28,1.2305362733966942
13,Edge118,1.2146909887676502
14,Edge284,1.1832961085656803
15,Edge130,1.1216857756153114
16,Edge49,1.1216857756153114
17,Edge263,1.10652819777894
18,Edge318,1.091468373828698
19,Edge112,1.0468741532841632
20,Edge251,1.0322040658981668
21,Edge300,0.9887759121788804
22,Edge254,0.974493446930009
23,Edge127,0.9462180695164822
24,Edge40,0.9462180695164822
25,Edge305,0.9322248767463415
26,Edge270,0.8908215659782142
27,Edge39,0.877212065630727
28,Edge70,0.877212065630727
29,Edge178,0.8636981199122786
30,Edge230,0.8636981199122786
