Rank,Feature_Name,MWU_Score
1,Edge323,2.9232250049765223
2,Edge232,2.7781359699257058
3,Edge259,2.0677964506084647
4,Edge201,2.0677964506084647
5,Edge152,1.9464059454612084
6,Edge68,1.752278416274278
7,Edge251,1.6590327856075533
8,Edge70,1.5683183768942526
9,Edge218,1.550478252336899
10,Edge204,1.4975617136632677
11,Edge295,1.4627862567334922
12,Edge49,1.4113744577597784
13,Edge80,1.394437158306622
14,Edge74,1.2949057350317346
15,Edge76,1.2949057350317346
16,Edge170,1.2786648940327616
17,Edge168,1.2625231118586069
18,Edge156,1.2305362733966942
19,Edge101,1.2305362733966942
20,Edge21,1.2146909887676502
21,Edge318,1.2146909887676502
22,Edge45,1.1989443062518168
23,Edge136,1.136941232481964
24,Edge280,1.10652819777894
25,Edge257,1.091468373828698
26,Edge203,1.091468373828698
27,Edge4,1.091468373828698
28,Edge305,1.0616414801697738
29,Edge171,1.0031550796550919
30,Edge11,0.9887759121788804
