Rank,Feature_Name,MWU_Score
1,Edge323,2.38751515040201
2,Edge232,1.752278416274278
3,Edge260,1.7334262665980873
4,Edge171,1.6960266746373154
5,Edge68,1.6224438985515475
6,Edge112,1.550478252336899
7,Edge39,1.5327388302932388
8,Edge315,1.5327388302932388
9,Edge4,1.4975617136632677
10,Edge6,1.4455489054626125
11,Edge21,1.4284116727953482
12,Edge22,1.4284116727953482
13,Edge45,1.3276850368989381
14,Edge70,1.3276850368989381
15,Edge54,1.2949057350317346
16,Edge165,1.2786648940327616
17,Edge204,1.2786648940327616
18,Edge48,1.2786648940327616
19,Edge136,1.2786648940327616
20,Edge178,1.2146909887676502
21,Edge116,1.1989443062518168
22,Edge101,1.1989443062518168
23,Edge259,1.1989443062518168
24,Edge201,1.1216857756153114
25,Edge131,1.0765061772556053
26,Edge80,1.0322040658981668
27,Edge1,1.0176310858810285
28,Edge98,1.0176310858810285
29,Edge284,0.9887759121788804
30,Edge216,0.9887759121788804
