Rank,Feature_Name,MWU_Score
1,Edge323,3.2765094988823558
2,Edge232,2.2141026408291613
3,Edge21,2.0677964506084647
4,Edge70,1.8870951852332145
5,Edge80,1.8870951852332145
6,Edge97,1.7902878454741484
7,Edge39,1.7902878454741484
8,Edge136,1.7334262665980873
9,Edge74,1.7146757145088147
10,Edge171,1.5683183768942526
11,Edge316,1.550478252336899
12,Edge68,1.550478252336899
13,Edge116,1.5327388302932388
14,Edge204,1.4284116727953482
15,Edge54,1.4113744577597784
16,Edge117,1.394437158306622
17,Edge152,1.394437158306622
18,Edge266,1.3112457460004088
19,Edge76,1.3112457460004088
20,Edge296,1.2949057350317346
21,Edge58,1.2949057350317346
22,Edge79,1.1989443062518168
23,Edge294,1.1832961085656803
24,Edge318,1.1522946921741337
25,Edge201,1.1522946921741337
26,Edge133,1.1216857756153114
27,Edge170,1.10652819777894
28,Edge115,1.091468373828698
29,Edge45,1.0765061772556053
30,Edge300,1.0322040658981668
