Rank,Feature_Name,MWU_Score
1,Edge323,2.5522647261796894
2,Edge97,2.4821721709603777
3,Edge232,2.3449665247139246
4,Edge76,2.1250842583891925
5,Edge54,2.0824217453805174
6,Edge70,1.9776741296099034
7,Edge251,1.9776741296099034
8,Edge152,1.9161311765092321
9,Edge204,1.8958339700919895
10,Edge171,1.8355925014072954
11,Edge136,1.7959724489474285
12,Edge80,1.679700876575175
13,Edge201,1.567296472930445
14,Edge68,1.53068406550414
15,Edge116,1.4765648892258438
16,Edge170,1.4410171605260007
17,Edge202,1.4058937975414199
18,Edge259,1.371193911291553
19,Edge7,1.354002488769151
20,Edge117,1.3199361076113787
21,Edge178,1.3199361076113787
22,Edge156,1.2862908935906383
23,Edge39,1.2696259250877204
24,Edge318,1.2366106550957139
25,Edge74,1.2366106550957139
26,Edge92,1.2202601055286593
27,Edge69,1.1878725466631013
28,Edge24,1.1559021842160258
29,Edge75,1.1243479692379568
30,Edge295,1.093208829158373
