Rank,Feature_Name,MWU_Score
1,Edge76,2.10369839080518
2,Edge74,2.0824217453805174
3,Edge116,2.0824217453805174
4,Edge266,1.957051173073514
5,Edge316,1.9365368829593663
6,Edge80,1.815728440975102
7,Edge323,1.7567843127627145
8,Edge21,1.6418040808905143
9,Edge204,1.5489369041640202
10,Edge135,1.53068406550414
11,Edge54,1.4765648892258438
12,Edge202,1.4410171605260007
13,Edge117,1.4234024884250926
14,Edge131,1.3884909761488213
15,Edge232,1.3884909761488213
16,Edge168,1.3884909761488213
17,Edge317,1.371193911291553
18,Edge156,1.354002488769151
19,Edge171,1.3369165931211093
20,Edge69,1.3030609142126806
21,Edge169,1.3030609142126806
22,Edge152,1.2530658867069986
23,Edge244,1.2202601055286593
24,Edge97,1.2040141118913665
25,Edge165,1.2040141118913665
26,Edge75,1.1878725466631013
27,Edge101,1.1878725466631013
28,Edge136,1.1243479692379568
29,Edge39,1.1243479692379568
30,Edge290,1.108726582809939
