Rank,Feature_Name,MWU_Score
1,Edge152,2.0066390281668856
2,Edge232,1.9067630854401132
3,Edge68,1.84806605535445
4,Edge251,1.7902878454741484
5,Edge259,1.7712322480264826
6,Edge323,1.752278416274278
7,Edge201,1.5862592977442045
8,Edge54,1.5683183768942526
9,Edge131,1.4801238265152872
10,Edge168,1.4801238265152872
11,Edge266,1.4284116727953482
12,Edge165,1.394437158306622
13,Edge69,1.2949057350317346
14,Edge316,1.2949057350317346
15,Edge70,1.246480276165538
16,Edge301,1.2146909887676502
17,Edge116,1.1989443062518168
18,Edge21,1.1989443062518168
19,Edge147,1.1832961085656803
20,Edge39,1.1832961085656803
21,Edge204,1.1677462771538825
22,Edge170,1.1677462771538825
23,Edge317,1.1677462771538825
24,Edge76,1.10652819777894
25,Edge325,1.10652819777894
26,Edge171,1.0616414801697738
27,Edge80,1.0322040658981668
28,Edge150,1.0176310858810285
29,Edge117,0.9887759121788804
30,Edge295,0.9887759121788804
