Rank,Feature_Name,MWU_Score
1,Edge323,2.435995988003649
2,Edge74,2.2336545665562455
3,Edge117,2.2117214615220453
4,Edge76,2.0824217453805174
5,Edge39,1.8958339700919895
6,Edge171,1.8958339700919895
7,Edge116,1.7180273685896428
8,Edge165,1.6606988145657327
9,Edge68,1.6230165785097348
10,Edge204,1.5489369041640202
11,Edge266,1.5489369041640202
12,Edge201,1.53068406550414
13,Edge80,1.4944981632629515
14,Edge132,1.4765648892258438
15,Edge244,1.4234024884250926
16,Edge69,1.4058937975414199
17,Edge97,1.354002488769151
18,Edge54,1.354002488769151
19,Edge152,1.354002488769151
20,Edge301,1.3199361076113787
21,Edge320,1.3199361076113787
22,Edge169,1.3030609142126806
23,Edge70,1.2696259250877204
24,Edge147,1.2530658867069986
25,Edge284,1.2202601055286593
26,Edge75,1.2040141118913665
27,Edge21,1.1878725466631013
28,Edge86,1.1718352808996695
29,Edge135,1.108726582809939
30,Edge168,1.108726582809939
