Rank,Feature_Name,MWU_Score
1,Edge68,2.6136365971903834
2,Edge74,1.8870951852332145
3,Edge39,1.84806605535445
4,Edge259,1.7902878454741484
5,Edge323,1.7146757145088147
6,Edge116,1.5683183768942526
7,Edge64,1.5327388302932388
8,Edge136,1.5151000159931183
9,Edge70,1.4975617136632677
10,Edge181,1.4113744577597784
11,Edge86,1.3775996712963479
12,Edge204,1.3442237165167081
13,Edge280,1.3112457460004088
14,Edge117,1.2949057350317346
15,Edge21,1.2949057350317346
16,Edge80,1.2625231118586069
17,Edge41,1.2305362733966942
18,Edge58,1.1522946921741337
19,Edge232,1.1216857756153114
20,Edge165,1.1216857756153114
21,Edge52,1.10652819777894
22,Edge201,1.091468373828698
23,Edge6,1.0765061772556053
24,Edge316,1.0468741532841632
25,Edge97,1.0322040658981668
26,Edge76,1.0322040658981668
27,Edge171,1.0322040658981668
28,Edge67,1.0322040658981668
29,Edge79,1.0176310858810285
30,Edge152,1.0176310858810285
