Rank,Feature_Name,MWU_Score
1,Edge323,3.1225690972342885
2,Edge136,2.256834035470303
3,Edge76,2.171784864788436
4,Edge232,1.8870951852332145
5,Edge204,1.8870951852332145
6,Edge97,1.867529534742294
7,Edge70,1.84806605535445
8,Edge68,1.7146757145088147
9,Edge152,1.7146757145088147
10,Edge201,1.6774790607238754
11,Edge54,1.6406877612154016
12,Edge266,1.6406877612154016
13,Edge300,1.6224438985515475
14,Edge251,1.5327388302932388
15,Edge75,1.4113744577597784
16,Edge74,1.394437158306622
17,Edge290,1.3442237165167081
18,Edge171,1.3276850368989381
19,Edge80,1.3276850368989381
20,Edge259,1.2949057350317346
21,Edge238,1.2786648940327616
22,Edge116,1.2786648940327616
23,Edge41,1.2146909887676502
24,Edge260,1.2146909887676502
25,Edge156,1.1989443062518168
26,Edge318,1.1832961085656803
27,Edge45,1.1216857756153114
28,Edge284,1.10652819777894
29,Edge247,1.10652819777894
30,Edge39,1.091468373828698
