Rank,Feature_Name,MWU_Score
1,Edge68,2.7781359699257058
2,Edge323,2.6601130840970155
3,Edge232,2.38751515040201
4,Edge21,2.256834035470303
5,Edge201,2.0883880068409963
6,Edge70,2.0066390281668856
7,Edge45,1.84806605535445
8,Edge80,1.8094452913773447
9,Edge116,1.752278416274278
10,Edge204,1.5862592977442045
11,Edge259,1.5683183768942526
12,Edge86,1.5327388302932388
13,Edge316,1.5151000159931183
14,Edge260,1.4627862567334922
15,Edge69,1.394437158306622
16,Edge317,1.394437158306622
17,Edge168,1.3775996712963479
18,Edge64,1.3775996712963479
19,Edge79,1.3112457460004088
20,Edge74,1.3112457460004088
21,Edge101,1.2625231118586069
22,Edge131,1.246480276165538
23,Edge179,1.246480276165538
24,Edge320,1.2305362733966942
25,Edge152,1.2305362733966942
26,Edge187,1.1989443062518168
27,Edge301,1.1832961085656803
28,Edge133,1.1522946921741337
29,Edge266,1.1522946921741337
30,Edge191,1.136941232481964
