Rank,Feature_Name,MWU_Score
1,Edge323,2.6712985962737466
2,Edge232,2.367558693975887
3,Edge204,2.10369839080518
4,Edge116,1.9365368829593663
5,Edge35,1.9161311765092321
6,Edge191,1.8756451791929205
7,Edge101,1.8555647184028743
8,Edge80,1.7763244362262272
9,Edge152,1.7567843127627145
10,Edge140,1.7373519875456798
11,Edge171,1.7373519875456798
12,Edge48,1.7180273685896428
13,Edge34,1.679700876575175
14,Edge268,1.6606988145657327
15,Edge284,1.6043362093350755
16,Edge70,1.567296472930445
17,Edge296,1.4765648892258438
18,Edge133,1.4587379243556835
19,Edge136,1.4234024884250926
20,Edge260,1.3884909761488213
21,Edge216,1.354002488769151
22,Edge153,1.354002488769151
23,Edge230,1.3369165931211093
24,Edge11,1.3369165931211093
25,Edge175,1.3369165931211093
26,Edge139,1.3369165931211093
27,Edge4,1.3199361076113787
28,Edge165,1.3030609142126806
29,Edge24,1.2366106550957139
30,Edge117,1.2040141118913665
