Rank,Feature_Name,MWU_Score
1,Edge201,2.02692203337499
2,Edge323,1.8870951852332145
3,Edge68,1.7146757145088147
4,Edge232,1.4455489054626125
5,Edge204,1.4284116727953482
6,Edge115,1.4113744577597784
7,Edge152,1.4113744577597784
8,Edge316,1.4113744577597784
9,Edge169,1.3442237165167081
10,Edge70,1.3276850368989381
11,Edge171,1.3276850368989381
12,Edge251,1.2949057350317346
13,Edge15,1.2949057350317346
14,Edge75,1.2305362733966942
15,Edge80,1.2146909887676502
16,Edge21,1.1989443062518168
17,Edge76,1.1989443062518168
18,Edge69,1.1832961085656803
19,Edge301,1.1677462771538825
20,Edge290,1.1677462771538825
21,Edge18,1.1522946921741337
22,Edge74,1.1522946921741337
23,Edge54,1.136941232481964
24,Edge136,1.136941232481964
25,Edge10,1.1216857756153114
26,Edge45,1.091468373828698
27,Edge224,1.0765061772556053
28,Edge295,1.0616414801697738
29,Edge12,1.0322040658981668
30,Edge231,0.974493446930009
