Rank,Feature_Name,MWU_Score
1,Edge232,2.528790018490962
2,Edge68,2.459028903673276
3,Edge323,2.3224843736716445
4,Edge21,2.1250842583891925
5,Edge116,2.0401958124622577
6,Edge80,2.0192463686810855
7,Edge45,1.815728440975102
8,Edge70,1.7763244362262272
9,Edge131,1.7373519875456798
10,Edge171,1.6988103629228588
11,Edge216,1.5489369041640202
12,Edge260,1.5489369041640202
13,Edge204,1.53068406550414
14,Edge201,1.5125378534226743
15,Edge185,1.3884909761488213
16,Edge316,1.371193911291553
17,Edge168,1.354002488769151
18,Edge34,1.354002488769151
19,Edge136,1.3369165931211093
20,Edge74,1.2862908935906383
21,Edge39,1.2862908935906383
22,Edge127,1.2696259250877204
23,Edge191,1.2366106550957139
24,Edge58,1.2202601055286593
25,Edge111,1.2202601055286593
26,Edge18,1.2040141118913665
27,Edge76,1.2040141118913665
28,Edge175,1.1878725466631013
29,Edge101,1.1878725466631013
30,Edge140,1.1718352808996695
