Rank,Feature_Name,MWU_Score
1,Edge323,3.097282100826402
2,Edge204,2.0066390281668856
3,Edge171,2.0066390281668856
4,Edge232,1.867529534742294
5,Edge260,1.6960266746373154
6,Edge68,1.6774790607238754
7,Edge1,1.4627862567334922
8,Edge74,1.4284116727953482
9,Edge4,1.4113744577597784
10,Edge116,1.4113744577597784
11,Edge296,1.4113744577597784
12,Edge117,1.3442237165167081
13,Edge318,1.3276850368989381
14,Edge300,1.3276850368989381
15,Edge266,1.2949057350317346
16,Edge165,1.2949057350317346
17,Edge21,1.246480276165538
18,Edge281,1.246480276165538
19,Edge188,1.2305362733966942
20,Edge189,1.1989443062518168
21,Edge185,1.1832961085656803
22,Edge216,1.1522946921741337
23,Edge76,1.1522946921741337
24,Edge201,1.136941232481964
25,Edge39,1.1216857756153114
26,Edge133,1.1216857756153114
27,Edge233,1.10652819777894
28,Edge175,1.10652819777894
29,Edge191,1.10652819777894
30,Edge311,1.091468373828698
