accuracy,precision,recall,f1,roc_auc,bootstrap
0.876095238095238,0.9114401154401155,0.8775,0.8876429837792067,0.9654464285714285,56
0.8319047619047617,0.8563033633033632,0.865,0.8511909978566323,0.9036607142857145,57
0.7834285714285714,0.8065750360750361,0.8325,0.8106690009337068,0.8856249999999999,58
0.8411428571428572,0.8822121212121212,0.845,0.8560473771154884,0.9352083333333333,59
0.8123809523809523,0.8625714285714285,0.8125,0.8266549790079201,0.9169642857142857,60
0.834190476190476,0.8624502164502164,0.855,0.849257532972703,0.9052083333333333,61
0.7449523809523809,0.76729797979798,0.8025,0.7786863973659638,0.8829166666666666,62
0.7692380952380953,0.7787860472860473,0.84,0.8011433315566441,0.8880952380952379,63
0.7999047619047619,0.8128160173160173,0.8525,0.8257444119348143,0.8846726190476191,64
0.7720952380952381,0.7991349206349204,0.8175,0.7972483830239248,0.8899107142857144,65
0.8426666666666668,0.8785454545454544,0.8525,0.8558789507705916,0.9461309523809525,66
0.7773333333333332,0.7829339549339549,0.8625,0.8120857044572213,0.8592857142857144,67
0.8051428571428572,0.8214769119769119,0.86,0.8327403444508705,0.9253273809523809,68
0.8204761904761905,0.8390991785991786,0.865,0.8435051977606157,0.9198511904761905,69
0.8545714285714286,0.9070750360750361,0.84,0.8646830613486958,0.9463095238095238,70
0.8485714285714286,0.86898556998557,0.8775,0.8652301152579791,0.9437797619047621,71
0.7580952380952382,0.7835714285714288,0.8075,0.7858714168528409,0.8828571428571427,72
0.8655238095238096,0.8853665223665225,0.895,0.8819042515791741,0.9503273809523809,73
0.8044761904761905,0.8214134199134199,0.8625,0.8316410917943425,0.9266964285714286,74
0.8437142857142856,0.8805873015873016,0.845,0.854777294600824,0.949375,75
0.7821904761904763,0.7985873015873015,0.8425,0.8122879030154572,0.8920238095238094,76
0.8099047619047619,0.8101720501720502,0.8875,0.8397159297530813,0.8873809523809524,77
0.7415238095238095,0.7899350649350648,0.7625,0.7628644650842792,0.8598511904761905,78
