Feature_Name,Frequency,Mean_Importance,max_features
Edge68,47,0.036972974365446235,5
Edge80,41,0.0411973209135003,5
Edge70,41,0.026033220071783887,5
Edge74,39,0.04047198214672581,5
Edge201,39,0.03943953632555398,5
Edge76,38,0.0360841010746318,5
Edge21,38,0.02967549312686423,5
Edge171,38,0.029154925586971355,5
Edge116,36,0.046102053007405934,5
Edge266,33,0.027763610099015228,5
Edge260,32,0.037282626188406394,5
Edge39,32,0.03390285565163687,5
Edge4,30,0.04707127188014239,5
Edge152,28,0.0253817161421567,5
Edge101,26,0.028358168703627264,5
Edge323,50,0.0496780377146598,6
Edge204,47,0.045365498789142186,6
Edge232,47,0.04275287795674322,6
Edge68,47,0.037299175312657695,6
Edge80,41,0.04374316491919552,6
Edge70,41,0.02525023585530726,6
Edge201,39,0.04030963595306373,6
Edge74,39,0.04012388592070717,6
Edge76,38,0.03383937046900648,6
Edge21,38,0.03157633302115636,6
Edge171,38,0.026617823359040213,6
Edge116,36,0.04867998611676263,6
Edge266,33,0.030180234350239685,6
Edge260,32,0.03851219525074264,6
Edge39,32,0.03185343916562422,6
Edge4,30,0.04761587540161737,6
Edge152,28,0.026572597433747572,6
Edge101,26,0.026559811640506897,6
Edge323,50,0.04974740862254605,7
Edge204,47,0.04599089702295063,7
Edge232,47,0.04128937137584496,7
Edge68,47,0.033352337384141804,7
Edge80,41,0.04347566172753449,7
Edge70,41,0.022233789584818926,7
Edge74,39,0.04258584370183835,7
Edge201,39,0.04035614485047283,7
Edge76,38,0.03544767591540527,7
Edge21,38,0.028509039224036078,7
Edge171,38,0.02732345569609357,7
Edge116,36,0.04576938646571966,7
Edge266,33,0.02797347754298744,7
Edge260,32,0.0408506017715205,7
Edge39,32,0.03349931655693915,7
Edge4,30,0.05051370220999105,7
Edge152,28,0.025918778812260162,7
Edge101,26,0.024028440880416373,7
Edge323,50,0.04602389923962384,8
Edge204,47,0.04822065211374981,8
Edge232,47,0.04223247019441927,8
Edge68,47,0.03476014770720073,8
Edge80,41,0.048352312118155,8
Edge70,41,0.02168497183077798,8
Edge74,39,0.044143390380840315,8
Edge201,39,0.04289794201258377,8
Edge76,38,0.036218888871645726,8
Edge21,38,0.03123569259429938,8
Edge171,38,0.027201445726961773,8
Edge116,36,0.0464566103345759,8
Edge266,33,0.028762597547998148,8
Edge260,32,0.03928249567343074,8
Edge39,32,0.032711474097735366,8
Edge4,30,0.052866183413178135,8
Edge152,28,0.026499149719232347,8
Edge101,26,0.023009742166189475,8
Edge323,50,0.04531155825245475,9
Edge204,47,0.04877258115728537,9
Edge232,47,0.04317245586752942,9
Edge68,47,0.03404669754649435,9
Edge80,41,0.046869125610040425,9
Edge70,41,0.020844766567969502,9
Edge74,39,0.044793754993941226,9
Edge201,39,0.0418691196362506,9
Edge76,38,0.03526402342638126,9
Edge21,38,0.029503708254583278,9
Edge171,38,0.026892816300918432,9
Edge116,36,0.047924468029486085,9
Edge266,33,0.02739858479861662,9
Edge260,32,0.04196826368240511,9
Edge39,32,0.03276767297985142,9
Edge4,30,0.053817874909339085,9
Edge152,28,0.025502927744935656,9
Edge101,26,0.02205895500135182,9
Edge323,50,0.04728618929176415,10
Edge204,47,0.04861850473254265,10
Edge232,47,0.04069367995911524,10
