,K_10,K_15,K_20,K_25,K_30,K_35,K_40,K_45,K_50,K_55,K_60,K_65,K_70,K_75,K_80,K_85,K_90,K_95,K_100
Fold_13,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.5,0.35714285714285715,0.5714285714285714,0.5,0.42857142857142855
Fold_14,0.6428571428571429,0.5,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.5,0.5,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.5714285714285714
Fold_15,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.42857142857142855
Fold_16,0.8,0.8666666666666667,0.8666666666666667,0.6666666666666666,0.7333333333333333,0.8,0.6,0.6666666666666666,0.8,0.6,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.5333333333333333,0.6,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.6
Fold_17,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.7857142857142857,0.6428571428571429,0.6428571428571429,0.6428571428571429
Fold_18,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.6428571428571429,0.7142857142857143,0.5,0.35714285714285715,0.6428571428571429,0.7857142857142857,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5,0.6428571428571429,0.5,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.5714285714285714
Fold_19,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.7142857142857143
Fold_20,0.6428571428571429,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.7142857142857143,0.6428571428571429,0.5714285714285714,0.6428571428571429
Fold_21,0.6,0.5333333333333333,0.4,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.4,0.3333333333333333,0.4,0.3333333333333333,0.4,0.4666666666666667,0.4666666666666667,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4
Fold_22,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.5714285714285714
