metric,mean,std,median,lower95,upper95
accuracy,0.8098641904761905,0.03400289319625961,0.8089047619047619,0.7540857142857142,0.8629619047619047
precision,0.8325683168498168,0.035169216705959745,0.8322539682539682,0.7754101731601732,0.8908548701298701
recall,0.8503875000000001,0.033558080077508726,0.8512500000000001,0.795,0.9
f1,0.832448685397065,0.029733346889526634,0.8308039063619559,0.7835616597025264,0.8798684421271883
roc_auc,0.9146320535714286,0.02534960638266445,0.9168601190476191,0.8679732142857143,0.951671130952381
